product_id,category,sub_category,discounted_price,actual_price,discount_percentage,rating,rating_count,After_discount
B0BR4F878Q,InstantWaterHeaters,Unknown,1439,1999,0.28,4.8,53803,560
B0B3G5XZN5,HandBlenders,Unknown,2799,3499,0.2,4.5,546,700
B07WKB69RS,InstantWaterHeaters,Unknown,2088,5550,0.62,4,5292,3462
B09DL9978Y,InstantWaterHeaters,Unknown,2399,4590,0.48,4.1,444,2191
B06XMZV7RH,DigitalKitchenScales,Unknown,308,499,0.38,3.9,4584,191
B09WMTJPG7,InstantWaterHeaters,Unknown,2599,4400,0.41,4.1,14947,1801
B09ZK6THRR,"Irons,Steamers&Accessories",Irons,479,1000,0.52,4.2,1559,521
B07MP21WJD,"Irons,Steamers&Accessories",LintShavers,245,299,0.18,4.1,1660,54
B09XB1R2F3,"Irons,Steamers&Accessories",LintShavers,179,799,0.78,3.5,132,620
B08Y5QJXSR,CeilingFans,Unknown,3569,5190,0.31,4.3,28629,1621
B07WJXCTG9,Kettles&HotWaterDispensers,ElectricKettles,699,1345,0.48,3.9,8446,646
B09NBZ36F7,InductionCooktop,Unknown,2089,4000,0.48,4.2,11199,1911
B0912WJ87V,AirPurifiers&Ionizers,Unknown,2339,4000,0.42,3.8,1118,1661
B0BMTZ4T1D,FanHeaters,Unknown,784,1599,0.51,4.5,11,815
B07Z51CGGH,Vacuums&FloorCare,Vacuums,5499,9999,0.45,3.8,4353,4500
B0BDG6QDYD,FanHeaters,Unknown,899,1990,0.55,4.1,185,1091
B00YQLG7GK,HandBlenders,Unknown,1695,1695,0,4.2,14290,0
B00SMJPA9C,"Irons,Steamers&Accessories",Irons,499,940,0.47,4.1,3036,441
B0B9RN5X8B,InstantWaterHeaters,Unknown,2699,4700,0.43,4.2,1296,2001
B08QW937WV,InstantWaterHeaters,Unknown,1448,2999,0.52,4.5,19,1551
B0B4PPD89B,VacuumSealers,Unknown,79,79,0,4,97,0
B08GM5S4CQ,StorageWaterHeaters,Unknown,6990,14290,0.51,4.4,1771,7300
B00NM6MO26,InductionCooktop,Unknown,2698,3945,0.32,4,15034,1247
B083M7WPZD,Vacuums&FloorCare,Vacuums,3199,5999,0.47,4,3242,2800
B07GLSKXS1,Kettles&HotWaterDispensers,Kettle&ToasterSets,1199,1950,0.39,3.9,2832,751
B09F6KL23R,MiniFoodProcessors&Choppers,Unknown,1414,2799,0.49,4,1498,1385
B094G9L9LT,Kettles&HotWaterDispensers,ElectricKettles,999,1950,0.49,3.8,305,951
B09FZ89DK6,Vacuums&FloorCare,Vacuums,5999,9999,0.4,4.2,1191,4000
B0811VCGL5,HEPAAirPurifiers,Unknown,9970,12999,0.23,4.3,4049,3029
B07FXLC2G2,WaterFilters&Purifiers,Unknown,698,699,0,4.2,3160,1
B01LYU3BZF,CeilingFans,Unknown,2199,3190,0.31,4.3,9650,991
B083RC4WFJ,LaundryBags,Unknown,320,799,0.6,4.2,3846,479
B09SFRNKSR,"Irons,Steamers&Accessories",LintShavers,298,499,0.4,4.4,290,201
B07NRTCDS5,JuicerMixerGrinders,Unknown,1199,1499,0.2,3.8,2206,300
B07SPVMSC6,CeilingFans,Unknown,1399,2660,0.47,4.1,9349,1261
B09H3BXWTK,DigitalKitchenScales,Unknown,599,2799,0.79,3.9,578,2200
B0073QGKAS,Pop-upToasters,Unknown,1499,1499,0,4.3,9331,0
B08GJ57MKL,HEPAAirPurifiers,Unknown,14400,59900,0.76,4.4,3837,45500
B009DA69W6,WaterFilters&Purifiers,Unknown,1699,1900,0.11,3.6,11456,201
B099PR2GQJ,ElectricHeaters,Unknown,649,999,0.35,3.8,49,350
B08G8H8DPL,MixerGrinders,Unknown,3249,6375,0.49,4,4978,3126
B08VGM3YMF,LaundryBaskets,Unknown,199,499,0.6,4.1,1996,300
B08TTRVWKY,EggBoilers,Unknown,1099,1899,0.42,4.3,1811,800
B07T4D9FNY,Kettles&HotWaterDispensers,ElectricKettles,664,1490,0.55,4,2198,826
B07RX42D3D,SandwichMakers,Unknown,260,350,0.26,3.9,13127,90
B08WRKSF9D,StorageWaterHeaters,Unknown,6499,8500,0.24,4.4,5865,2001
B09R83SFYV,Sewing&EmbroideryMachines,Unknown,1484,2499,0.41,3.7,1067,1015
B07989VV5K,"Irons,Steamers&Accessories",Irons,999,1560,0.36,3.6,4881,561
B07FL3WRX5,JuicerMixerGrinders,Unknown,3299,6500,0.49,3.7,11217,3201
B0BPCJM7TB,HandBlenders,Unknown,259,999,0.74,4,43,740
B08H673XKN,MixerGrinders,Unknown,3249,7795,0.58,4.2,4664,4546
B07DXRGWDJ,"Irons,Steamers&Accessories",Irons,4280,5995,0.29,3.8,2112,1715
B08243SKCK,IroningAccessories,SprayBottles,189,299,0.37,4.2,2737,110
B09SPTNG58,CeilingFans,Unknown,1449,2349,0.38,3.9,9019,900
B083J64CBB,LaundryBaskets,Unknown,199,499,0.6,4,10234,300
